frame,Foxes,Rabbits
0,200,200
1,200,200
2,200,200
3,200,200
4,200,200
5,200,200
6,200,200
7,200,200
8,200,200
9,200,200
10,200,200
11,200,200
12,200,200
13,200,200
14,200,200
15,200,200
16,200,200
17,200,200
18,200,200
19,200,200
20,200,200
21,186,186
22,184,184
23,184,184
24,184,184
25,183,183
26,183,183
27,183,183
28,182,182
29,182,182
30,180,180
31,180,180
32,178,178
33,176,176
34,174,174
35,174,174
36,174,174
37,173,173
38,173,173
39,173,173
40,172,172
41,170,170
42,170,170
43,167,167
44,167,167
45,165,165
46,164,164
47,164,164
48,164,164
49,164,164
50,163,163
51,163,163
52,161,161
53,161,161
54,161,161
55,160,160
56,160,160
57,160,160
58,160,160
59,158,158
60,157,157
61,157,157
62,157,157
63,157,157
64,157,157
65,157,157
66,156,156
67,155,155
68,155,155
69,155,155
70,154,154
71,153,153
72,152,152
73,151,151
74,151,151
75,150,150
76,149,149
77,149,149
78,148,148
79,148,148
80,148,148
81,148,148
82,148,148
83,148,148
84,148,148
85,148,148
86,148,148
87,147,147
88,147,147
89,147,147
90,145,145
91,144,144
92,144,144
93,144,144
94,144,144
95,144,144
96,144,144
97,144,144
98,144,144
99,144,144
100,144,144
